"Line Numbers"	              "SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"Si Formula Atoms"	"Ti Formula Atoms"	"Al Formula Atoms"	"Fe Formula Atoms"	"Mg Formula Atoms"	"Ca Formula Atoms"	"Na Formula Atoms"	"Cr Formula Atoms"	"Mn Formula Atoms"	"Ni Formula Atoms"	"Oxide Totals"	"Formula Totals"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	
"Un   15  CK-4_AOI_1"
72.000000   	  .000000     	.493577     	47.369801   	12.662516   	19.249352   	.000000     	.000000     	18.093710   	.164397     	.316093     	.000000     	.010195     	1.533506    	.290879     	.788239     	.000000     	.000000     	.392950     	.003825     	.006983     	98.349442   	7.026577    	14.591800   	74.840401   	11.025000   	.029372     	.043093     	.028910     	.038259     	.011936     	.007640     	.017437     	.011241     	.025878     	.038439     	-232.23448  	10.195501   	.329538     	.985446     	.386980     	-17512.9043 	-438.32532  	.230687     	10.862063   	8.198611    	
73.000000   	  50.636677   	1.024765    	6.559776    	3.303046    	16.063864   	19.863649   	1.260483    	.645640     	.080699     	.042636     	1.231329    	.018740     	.187999     	.067172     	.582336     	.517527     	.059429     	.012413     	.001662     	.000834     	99.481224   	6.679440    	13.848700   	75.002998   	11.025000   	.024200     	.042404     	.024833     	.040890     	.010628     	.007977     	.016017     	.011468     	.026615     	.036380     	.282216     	6.387300    	.910648     	2.064566    	.412921     	.235177     	2.091235    	1.743096    	21.414223   	52.214333   	
74.000000   	  40.845108   	.006039     	.035978     	9.065968    	49.683666   	.092351     	.001705     	.005531     	.142494     	.329597     	.996798     	.000111     	.001035     	.185032     	1.807569    	.002415     	.000081     	.000107     	.002946     	.006469     	100.208450  	7.002561    	13.168500   	74.260696   	11.025000   	.024947     	.044116     	.026671     	.038231     	.009869     	.007671     	.015131     	.010801     	.025340     	.035989     	.330464     	578.786865  	67.187454   	1.185691    	.229026     	6.469985    	566.146545  	135.197433  	12.182487   	7.529537    	
75.000000   	  40.449852   	.039230     	.036938     	9.182683    	49.722012   	.090242     	.013271     	.018094     	.135771     	.300857     	.990712     	.000723     	.001066     	.188090     	1.815490    	.002368     	.000630     	.000350     	.002817     	.005926     	99.988953   	7.008172    	12.866500   	75.334198   	11.025000   	.024994     	.045083     	.026143     	.038430     	.010240     	.007386     	.014611     	.010565     	.024755     	.036390     	.332246     	94.524002   	64.222778   	1.177911    	.229025     	6.423019    	72.317017   	40.886787   	12.488195   	8.230921    	
"Un   16  CK-4_AOI_2"
76.000000   	  52.525333   	.278707     	4.844210    	3.111110    	16.666145   	20.226583   	1.104506    	1.243415    	.100907     	.000000     	1.900986    	.007585     	.206628     	.094165     	.899207     	.784328     	.077505     	.035580     	.003093     	.000000     	100.100922  	10.009078   	8.929000    	77.872299   	10.998000   	.023762     	.042048     	.024193     	.041709     	.010052     	.007637     	.015319     	.011170     	.025627     	.037983     	.276114     	15.869677   	1.081004    	2.142667    	.404767     	.233032     	2.241512    	1.087926    	16.834877   	-333.93521  	
77.000000   	  55.304119   	.027365     	3.975803    	5.865330    	33.058010   	1.136125    	.103396     	.638071     	.126465     	.101971     	1.905626    	.000709     	.161459     	.169020     	1.698131    	.041944     	.006908     	.017383     	.003691     	.002826     	100.336647  	10.007696   	8.627100    	78.614502   	10.998000   	.023833     	.048910     	.024919     	.039530     	.009873     	.007364     	.014622     	.010728     	.024829     	.035296     	.275319     	144.443253  	1.256356    	1.499154    	.280538     	1.072068    	11.127256   	1.695493    	13.347251   	21.812271   	
78.000000   	  40.747482   	.039207     	.344071     	9.062716    	48.733368   	.133501     	.000000     	.031731     	.130332     	.309254     	1.500533    	.001086     	.014933     	.279105     	2.675380    	.005267     	.000000     	.000924     	.004065     	.009159     	99.531662   	10.490452   	8.424700    	78.675102   	10.998000   	.024067     	.046974     	.026251     	.038609     	.009787     	.007457     	.014875     	.010597     	.024279     	.036503     	.330161     	98.207970   	7.889189    	1.185879    	.231225     	4.664129    	-667.04132  	23.659435   	12.755505   	8.050885    	
"Un   17  CK-4_AOI_3"
