"Line Numbers"	"  Si WT%"	"  Ti WT%"	"  Al WT%"	"  Cr WT%"	"  Fe WT%"	"  Ni WT%"	"  Mn WT%"	"  Mg WT%"	"  Ca WT%"	"  Na WT%"	"   O WT%"	"   TOTAL WT%"	"SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3  Oxide Percents"	"Cr2O3  Oxide Percents"	"FeO  Oxide Percents"	"NiO  Oxide Percents"	"MnO  Oxide Percents"	"MgO  Oxide Percents"	"CaO  Oxide Percents"	"Na2O  Oxide Percents"	"       O"	"Oxide Totals"	"  Si AT%"	"  Ti AT%"	"  Al AT%"	"  Cr AT%"	"  Fe AT%"	"  Ni AT%"	"  Mn AT%"	"  Mg AT%"	"  Ca AT%"	"  Na AT%"	"   O AT%"	"Si OXMOL%"	"Ti OXMOL%"	"Al OXMOL%"	"Cr OXMOL%"	"Fe OXMOL%"	"Ni OXMOL%"	"Mn OXMOL%"	"Mg OXMOL%"	"Ca OXMOL%"	"Na OXMOL%"	"O OXMOL%"	"   TOTAL OXMOL%"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Ti FORMULA"	"Al FORMULA"	"Cr FORMULA"	"Fe FORMULA"	"Ni FORMULA"	"Mn FORMULA"	"Mg FORMULA"	"Ca FORMULA"	"Na FORMULA"	"O FORMULA"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Cr Detection Limits"	"Fe Detection Limits"	"Ni Detection Limits"	"Mn Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Cr Percent Errors"	"Fe Percent Errors"	"Ni Percent Errors"	"Mn Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"   Z Stage Coordinates (mm)"	" RELDIST"	"Si K-RAW"	"Ti K-RAW"	"Al K-RAW"	"Cr K-RAW"	"Fe K-RAW"	"Ni K-RAW"	"Mn K-RAW"	"Mg K-RAW"	"Ca K-RAW"	"Na K-RAW"	"Si KRAT"	"Ti KRAT"	"Al KRAT"	"Cr KRAT"	"Fe KRAT"	"Ni KRAT"	"Mn KRAT"	"Mg KRAT"	"Ca KRAT"	"Na KRAT"	"TOTAL-WT%"	"TOTAL-OXYGEN"
49	 23.8604	 .202785	 2.71965	 .571275	 1.93584	 .052159	 .082804	 9.21584	 14.4542	 1.04899	 42.7987	 96.9426	 51.0459	 .338257	 5.13873	 .834960	 2.49046	 .066374	 .106920	 15.2826	 20.2243	 1.41401	 .000000	 96.9426	 19.0355	 .094858	 2.25847	 .246179	 .776687	 .019906	 .033772	 8.49600	 8.08055	 1.02237	 59.9357	 49.7000	 .247667	 2.94834	 .321376	 2.02786	 .051974	 .088176	 22.1823	 21.0976	 1.33465	 .000000	 100.000	 6.00000	0	 1.90559	 .009496	 .226090	 .024644	 .077752	 .001993	 .003381	 .850511	 .808922	 .102346	 6.00000	 .021390	 .039764	 .021668	 .010451	 .033302	 .031690	 .022768	 .009874	 .007417	 .015219	 .260313	 12.7895	 .967383	 1.31990	 2.18025	 29.6321	 14.2773	 .386202	 .214815	 1.80099	 80.0050	 73.5976	 10.8975	 .000000	 1.24096	 .003040	 .125204	 .007495	 .032398	 .000587	 .001384	 .240037	 .996898	 .108997	0.1891378	1.68677E-03	1.915367E-02	4.802654E-03	1.621344E-02	4.405431E-04	6.815841E-04	6.231702E-02	0.1328505	5.468272E-03	 96.9426	 42.7987
50	 25.7670	 .103002	 2.98464	 .595411	 2.01074	 .029265	 .048102	 9.75179	 14.8935	 1.02094	 45.6747	 102.879	 55.1249	 .171814	 5.63942	 .870237	 2.58681	 .037240	 .062111	 16.1714	 20.8391	 1.37620	 .000000	 102.879	 19.3106	 .045262	 2.32830	 .241029	 .757840	 .010492	 .018429	 8.44521	 7.82154	 .934720	 60.0866	 50.6025	 .118607	 3.05060	 .315801	 1.98588	 .027493	 .048293	 22.1302	 20.4959	 1.22469	 .000000	 100.000	 6.00000	0	 1.92828	 .004520	 .232495	 .024068	 .075675	 .001048	 .001840	 .843304	 .781026	 .093337	 6.00000	 .024676	 .045598	 .025280	 .010608	 .033826	 .033601	 .024860	 .010245	 .007374	 .014811	 .251197	 24.2762	 .939097	 1.28980	 2.13879	 55.0689	 25.5982	 .374908	 .211700	 1.81965	 80.0150	 73.6486	 10.8975	 51.9665	 1.34096	 .001544	 .137746	 .007810	 .033636	 .000329	 .000804	 .254828	 1.02599	 .106413	0.204379	8.566344E-04	2.107223E-02	5.004196E-03	1.683273E-02	2.470534E-04	3.957956E-04	6.615689E-02	0.136727	5.338615E-03	 102.879	 45.6747
51	 25.5980	 .115706	 2.90123	 .613173	 1.96284	 .031970	 .080163	 9.02349	 15.0798	 .899957	 44.9739	 101.280	 54.7633	 .193005	 5.48183	 .896198	 2.52518	 .040683	 .103509	 14.9637	 21.0997	 1.21312	 .000004	 101.280	 19.5255	 .051750	 2.30353	 .252639	 .752958	 .011666	 .031260	 7.95363	 8.06038	 .838627	 60.2180	 51.2689	 .135881	 3.02424	 .331681	 1.97707	 .030632	 .082080	 20.8841	 21.1644	 1.10101	 .000000	 100.000	 6.00000	0	 1.94548	 .005156	 .229519	 .025172	 .075023	 .001162	 .003115	 .792483	 .803119	 .083559	 6.00000	 .024976	 .042795	 .025007	 .010533	 .035376	 .034112	 .024423	 .009096	 .007472	 .014295	 .251692	 20.9994	 .951137	 1.25951	 2.18244	 51.2275	 15.5981	 .389479	 .210351	 1.94899	 79.9819	 73.6199	 10.8975	 95.7697	 1.33709	 .001734	 .134551	 .008041	 .032836	 .000360	 .001339	 .235484	 1.03929	 .093442	0.2037895	9.619832E-04	2.058355E-02	5.152478E-03	1.643274E-02	2.699395E-04	6.596067E-04	6.113476E-02	0.1384994	4.687863E-03	 101.280	 44.9739
52	 22.7715	 .183008	 3.31838	 .010320	 5.74753	 .127614	 .091710	 18.4425	 2.59688	 .826895	 44.1968	 98.3132	 48.7164	 .305268	 6.27002	 .015084	 7.39418	 .162393	 .118420	 30.5832	 3.63356	 1.11464	 .000004	 98.3132	 17.3748	 .081875	 2.63554	 .004253	 2.20546	 .046581	 .035774	 16.2608	 1.38849	 .770779	 59.1956	 44.4379	 .209405	 3.37034	 .005439	 5.64070	 .119135	 .091495	 41.5887	 3.55121	 .985673	 .000000	 100.000	 6.00000	0	 1.76109	 .008299	 .267136	 .000431	 .223543	 .004721	 .003626	 1.64818	 .140736	 .078125	 6.00000	 .030058	 .040827	 .030943	 .010333	 .034126	 .033869	 .024079	 .009401	 .007350	 .015167	 .277953	 13.9764	 .947102	 47.7653	 1.20443	 13.4225	 13.6141	 .268944	 .522338	 2.04003	 79.5339	 72.0049	 10.8975	 1771.76	 1.11529	 .002802	 .141345	 .000139	 .096665	 .001435	 .001542	 .490258	 .178027	 .088590	0.1699842	1.554466E-03	2.162279E-02	8.893015E-05	4.837504E-02	1.076824E-03	7.595133E-04	0.1272777	0.0237246	4.444449E-03	 98.3132	 44.1968
53	 20.8132	 .024646	 .002275	 .000710	 7.39150	 .262816	 .108580	 29.3059	 .066988	 .008395	 45.2751	 103.260	 44.5268	 .041110	 .004298	 .001038	 9.50914	 .334440	 .140203	 48.5980	 .093730	 .011316	 .000000	 103.260	 15.0683	 .010462	 .001714	 .000278	 2.69121	 .091024	 .040188	 24.5174	 .033985	 .007425	 57.5380	 35.4904	 .024642	 .002019	 .000327	 6.33864	 .214389	 .094654	 57.7461	 .080045	 .008744	 .000000	 100.000	 6.00000	0	 1.57130	 .001091	 .000179	 .000029	 .280637	 .009492	 .004191	 2.55665	 .003544	 .000774	 6.00000	 .027990	 .042854	 .029921	 .010207	 .034304	 .033449	 .023270	 .009507	 .007071	 .014483	 .294927	 85.6949	 620.957	 678.370	 1.05493	 6.89013	 11.3649	 .211562	 5.88601	 83.3419	 79.5703	 71.9954	 10.8975	 1809.38	 .986380	 .000380	 .000089	 .000010	 .124535	 .002955	 .001830	 .789944	 .004591	 .000911	0.1503367	2.107382E-04	1.368053E-05	6.179844E-06	0.0623224	2.216923E-03	9.010053E-04	0.2050804	6.118232E-04	4.568663E-05	 103.260	 45.2751
54	 18.4436	 .018455	 .007647	 .006028	 7.51854	 .257496	 .104654	 31.1151	 .054530	 .007937	 43.7981	 101.332	 39.4574	 .030784	 .014450	 .008810	 9.67258	 .327670	 .135133	 51.5981	 .076298	 .010698	 .000004	 101.332	 13.6307	 .007997	 .005883	 .002406	 2.79446	 .091038	 .039541	 26.5729	 .028240	 .007166	 56.8197	 31.5726	 .018524	 .006813	 .002787	 6.47275	 .210869	 .091588	 61.5503	 .065413	 .008299	 .000000	 100.000	 6.00000	0	 1.43937	 .000845	 .000621	 .000254	 .295087	 .009613	 .004175	 2.80603	 .002982	 .000757	 6.00000	 .023824	 .039689	 .024228	 .009861	 .033617	 .033068	 .022620	 .009679	 .006908	 .015857	 .314092	 105.408	 150.473	 77.7046	 1.04426	 6.95380	 11.4850	 .205096	 6.91298	 96.0220	 79.5073	 71.9828	 10.8975	 1873.62	 .861673	 .000285	 .000295	 .000082	 .126760	 .002897	 .001765	 .840224	 .003742	 .000864	0.1313298	1.580134E-04	4.505628E-05	5.257655E-05	6.343617E-02	2.173086E-03	8.690367E-04	0.2181339	4.986302E-04	4.335698E-05	 101.332	 43.7981
55	 .175613	 .065809	 22.7545	 11.8577	 8.48660	 .205534	 .134900	 11.1130	 .018048	 .018399	 35.8130	 90.6431	 .375698	 .109774	 42.9942	 17.3309	 10.9180	 .261548	 .174188	 18.4287	 .025253	 .024801	  .00000	 90.6431	 .158951	 .034926	 21.4383	 5.79734	 3.86306	 .088996	 .062422	 11.6234	 .011447	 .020345	 56.9008	 .539343	 .118509	 36.3716	 9.83559	 13.1079	 .301975	 .211806	 39.4399	 .038842	 .034516	 .000000	 100.000	 6.00000	0	 .016761	 .003683	 2.26060	 .611310	 .407347	 .009384	 .006582	 1.22565	 .001207	 .002145	 6.00000	 .023114	 .041611	 .024576	 .010256	 .035259	 .033069	 .023223	 .011514	 .006933	 .016411	 7.02447	 33.2541	 .323062	 .215842	 .972439	 8.47520	 9.32477	 .360551	 19.0498	 44.0597	 79.3877	 72.7152	 10.8975	 2615.72	 .007541	 .001092	 .976893	 .166435	 .146137	 .002371	 .002350	 .275524	 .001299	 .001744	1.149375E-03	6.056698E-04	0.1494444	0.1066413	7.313294E-02	1.778537E-03	1.157015E-03	7.152975E-02	1.731306E-04	8.750871E-05	 90.6431	 35.8130
56	 .023138	 .027242	 28.2044	 11.9061	 8.37053	 .174286	 .116129	 7.46447	 .012323	 .004851	 38.0273	 94.3307	 .049500	 .045441	 53.2916	 17.4016	 10.7687	 .221783	 .149951	 12.3783	 .017243	 .006539	  .00000	 94.3307	 .020020	 .013821	 25.4024	 5.56456	 3.64238	 .072141	 .051369	 7.46338	 .007472	 .005128	 57.7574	 .074823	 .051654	 47.4693	 10.3985	 13.6130	 .269619	 .191986	 27.8936	 .027926	 .009582	 .000000	 100.000	 6.00000	0	 .002080	 .001436	 2.63887	 .578062	 .378381	 .007494	 .005336	 .775317	 .000776	 .000533	 6.00000	 .032958	 .039187	 .030497	 .010542	 .032904	 .035184	 .023661	 .008492	 .007286	 .012678	 67.7591	 71.5859	 .284803	 .215740	 .976723	 10.3644	 10.8054	 .437518	 28.7762	 125.823	 79.3581	 72.7024	 10.8975	 2647.98	 .000990	 .000451	 1.26569	 .166810	 .144098	 .002010	 .002021	 .186385	 .000886	 .000462	1.508858E-04	2.500407E-04	0.1936245	0.1068818	7.211251E-02	1.508079E-03	9.954062E-04	0.0483881	1.180266E-04	2.319546E-05	 94.3307	 38.0273
57	 20.3593	 .000000	 .000000	 .006391	 7.65749	 .258619	 .113856	 23.6326	 .077238	 .002826	 41.0861	 93.1944	 43.5559	 .000000	 .000000	 .009341	 9.85134	 .329099	 .147016	 39.1899	 .108071	 .003809	 .000000	 93.1944	 16.4342	 .000000	 .000000	 .002786	 3.10858	 .099867	 .046985	 22.0440	 .043689	 .002787	 58.2171	 39.3350	 .000000	 .000000	 .003335	 7.44033	 .239031	 .112458	 52.7619	 .104570	 .003335	 .000000	 100.000	 6.00000	0	 1.69375	 .000000	 .000000	 .000287	 .320378	 .010293	 .004842	 2.27191	 .004503	 .000287	 6.00000	 .027172	 .041936	 .028686	 .010122	 .034690	 .033350	 .022562	 .007842	 .007030	 .012847	 .295749	 -157.12	 -126.25	 75.2312	 1.03475	 6.97084	 10.6318	 .236923	 5.19236	 216.646	 80.2141	 73.0657	 10.8975	 3577.88	 .978774	 -.00019	 -.00043	 .000087	 .129230	 .002911	 .001922	 .628588	 .005302	 .000300	0.1491775	1E-10	1E-10	5.59344E-05	6.467201E-02	2.183799E-03	9.462754E-04	0.16319	7.065031E-04	1.506749E-05	 93.1944	 41.0861
58	 16.2773	 .013791	 .017000	 .012067	 7.59104	 .284662	 .103503	 28.1736	 .061773	 .010333	 39.4330	 91.9781	 34.8230	 .023004	 .032122	 .017637	 9.76585	 .362239	 .133647	 46.7202	 .086434	 .013929	 .000004	 91.9781	 13.3258	 .006620	 .014487	 .005336	 3.12539	 .111486	 .043320	 26.6531	 .035439	 .010335	 56.6686	 30.7640	 .015283	 .016723	 .006160	 7.21527	 .257376	 .100007	 61.5314	 .081814	 .011929	 .000000	 100.000	 6.00000	0	 1.41092	 .000701	 .001534	 .000565	 .330912	 .011804	 .004587	 2.82200	 .003752	 .001094	 6.00000	 .018789	 .038735	 .020302	 .009507	 .034583	 .031782	 .021562	 .008857	 .006787	 .014098	 .332687	 136.534	 57.6316	 37.7421	 1.03894	 6.18615	 11.1700	 .216185	 6.12397	 66.3903	 80.2075	 73.0942	 10.8975	 3607.14	 .758787	 .000213	 .000652	 .000165	 .128208	 .003206	 .001748	 .755228	 .004247	 .001114	0.1156487	1.184002E-04	9.980144E-05	1.057743E-04	6.416081E-02	2.40494E-03	8.60907E-04	0.1960676	5.659623E-04	5.586822E-05	 91.9781	 39.4330
