"Un    2  CK-5_AOI_1 (TKCS): "	 40	 15	 25	 10
"    LINE"	"  Si AT%"	"  Ti AT%"	"  Al AT%"	"  Fe AT%"	"  Mg AT%"	"  Ca AT%"	"  Na AT%"	"  Cr AT%"	"  Mn AT%"	"  Ni AT%"	"   O AT%"	"  Si WT%"	"  Ti WT%"	"  Al WT%"	"  Fe WT%"	"  Mg WT%"	"  Ca WT%"	"  Na WT%"	"  Cr WT%"	"  Mn WT%"	"  Ni WT%"	"   O WT%"	"    SiO2"	"    TiO2"	"   Al2O3"	"     FeO"	"     MgO"	"     CaO"	"    Na2O"	"   Cr2O3"	"     MnO"	"     NiO"	"       O"	"   TOTAL"	"Si CDL99"	"Ti CDL99"	"Al CDL99"	"Fe CDL99"	"Mg CDL99"	"Ca CDL99"	"Na CDL99"	"Cr CDL99"	"Mn CDL99"	"Ni CDL99"	"Si %ERR "	"Ti %ERR "	"Al %ERR "	"Fe %ERR "	"Mg %ERR "	"Ca %ERR "	"Na %ERR "	"Cr %ERR "	"Mn %ERR "	"Ni %ERR "	"Si K-RAW"	"Ti K-RAW"	"Al K-RAW"	"Fe K-RAW"	"Mg K-RAW"	"Ca K-RAW"	"Na K-RAW"	"Cr K-RAW"	"Mn K-RAW"	"Ni K-RAW"	"Si ONCNT"	"Ti ONCNT"	"Al ONCNT"	"Fe ONCNT"	"Mg ONCNT"	"Ca ONCNT"	"Na ONCNT"	"Cr ONCNT"	"Mn ONCNT"	"Ni ONCNT"	"Si OFCNT"	"Ti OFCNT"	"Al OFCNT"	"Fe OFCNT"	"Mg OFCNT"	"Ca OFCNT"	"Na OFCNT"	"Cr OFCNT"	"Mn OFCNT"	"Ni OFCNT"	"Si NECNT"	"Ti NECNT"	"Al NECNT"	"Fe NECNT"	"Mg NECNT"	"Ca NECNT"	"Na NECNT"	"Cr NECNT"	"Mn NECNT"	"Ni NECNT"	"Si ONTIM"	"Ti ONTIM"	"Al ONTIM"	"Fe ONTIM"	"Mg ONTIM"	"Ca ONTIM"	"Na ONTIM"	"Cr ONTIM"	"Mn ONTIM"	"Ni ONTIM"	"Si HITIM"	"Ti HITIM"	"Al HITIM"	"Fe HITIM"	"Mg HITIM"	"Ca HITIM"	"Na HITIM"	"Cr HITIM"	"Mn HITIM"	"Ni HITIM"	"Si LOTIM"	"Ti LOTIM"	"Al LOTIM"	"Fe LOTIM"	"Mg LOTIM"	"Ca LOTIM"	"Na LOTIM"	"Cr LOTIM"	"Mn LOTIM"	"Ni LOTIM"	"Si DETIM"	"Ti DETIM"	"Al DETIM"	"Fe DETIM"	"Mg DETIM"	"Ca DETIM"	"Na DETIM"	"Cr DETIM"	"Mn DETIM"	"Ni DETIM"	" BEAMCUR"	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STDCT"	"Ti STDCT"	"Al STDCT"	"Fe STDCT"	"Mg STDCT"	"Ca STDCT"	"Na STDCT"	"Cr STDCT"	"Mn STDCT"	"Ni STDCT"
      49	 .000000	 .036914	 25.2025	 3.66214	 11.2481	 .000367	 .000000	 2.72223	 .037144	 .090949	 56.9996	 .000000	 .078621	 30.2364	 9.09385	 12.1560	 .000654	 .000000	 6.29373	 .090735	 .237422	 40.5513	 .000000	 .131145	 57.1311	 11.6992	 20.1582	 .000916	 .000000	 9.19875	 .117161	 .302125	 .000004	 98.7387	 .028770	 .044405	 .027508	 .037256	 .012059	 .007503	 .016288	 .010844	 .024845	 .037045	 -111.64	 30.4345	 .295969	 1.02860	 .368029	 541.498	 -573.86	 .327816	 14.2563	 8.29349	 -.00051	 .001267	 1.33338	 .155958	 .315858	 .000046	 -.00013	 .087826	 .001565	 .002721	 87.5814	 5.98304	 5827.60	 493.278	 3741.00	 55.1376	 11.2739	 5062.44	 44.2078	 95.7416	 90.2374	 3.70848	 61.8310	 8.85087	 30.4491	 54.7072	 11.4587	 160.304	 30.7075	 62.0605	 -2.6560	 2.27456	 5765.77	 484.428	 3710.55	 .430382	 -.18475	 4902.13	 13.5003	 33.6810	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.2800	 78.9009	 44.1858	 11.1230	 .000000	 5246.62	 1795.55	 4324.16	 3106.15	 11747.5	 9290.59	 1373.33	 55816.3	 8626.22	 12379.0
      50	 18.7467	 .153535	 2.92956	 .943754	 8.09191	 7.74607	 1.20450	 .212640	 .024481	 .012247	 59.9346	 24.4249	 .341162	 3.66685	 2.44498	 9.12355	 14.4021	 1.28458	 .512899	 .062391	 .033355	 44.4851	 52.2536	 .569078	 6.92846	 3.14546	 15.1296	 20.1515	 1.73159	 .749639	 .080561	 .042445	 .000000	 100.782	 .023889	 .045707	 .023732	 .041137	 .010263	 .007828	 .015011	 .011186	 .025688	 .036927	 .276895	 9.67727	 .877109	 2.12551	 .424846	 .232861	 1.73355	 1.53986	 20.7761	 53.1973	 1.26477	 .005124	 .169170	 .040953	 .236980	 .993956	 .133311	 .006744	 .001044	 .000376	 6730.31	 12.6140	 781.836	 137.493	 2805.98	 9290.81	 193.369	 527.822	 39.8718	 64.2127	 94.6126	 3.41315	 50.3463	 10.2889	 22.0310	 56.5837	 10.2816	 151.399	 30.8681	 59.5614	 6635.69	 9.20085	 731.489	 127.204	 2783.95	 9234.23	 183.087	 376.423	 9.00371	 4.65134	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.2700	 78.3457	 43.7989	 11.1230	 676.709	 5246.56	 1795.53	 4323.98	 3106.11	 11747.6	 9290.38	 1373.38	 55816.4	 8626.06	 12379.1
      51	 14.3284	 .000000	 .000000	 2.97484	 25.3745	 .024407	 .000000	 .000000	 .036479	 .097202	 57.1642	 19.3679	 .000000	 .000000	 7.99572	 29.6815	 .047081	 .000000	 .000000	 .096452	 .274651	 44.0188	 41.4348	 .000000	 .000000	 10.2865	 49.2209	 .065875	 .000000	 .000000	 .124542	 .349500	 .000000	 101.482	 .025021	 .040356	 .026529	 .037325	 .010018	 .007424	 .014915	 .010752	 .026033	 .035380	 .327230	 -1063.0	 -126.45	 1.10817	 .230337	 8.46867	 -107.66	 -73.498	 14.0392	 7.05643	 .911367	 -.00003	 -.00038	 .134898	 .796819	 .003232	 -.00069	 -.00009	 .001628	 .003091	 4867.26	 2.76790	 43.1030	 427.605	 9383.23	 80.4280	 10.0338	 145.548	 46.3160	 92.8856	 85.7752	 2.81733	 44.7509	 8.60029	 22.4384	 50.4007	 10.9804	 150.754	 32.2772	 54.6207	 4781.48	 -.04943	 -1.6479	 419.005	 9360.79	 30.0274	 -.94660	 -5.2068	 14.0388	 38.2649	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.2900	 78.2806	 44.4870	 11.1230	 1367.88	 5246.50	 1795.50	 4323.80	 3106.08	 11747.7	 9290.17	 1373.43	 55816.6	 8625.90	 12379.1
      52	 14.3315	 .000000	 .000000	 2.88716	 25.4579	 .025594	 .003984	 .000000	 .038526	 .090636	 57.1647	 19.3542	 .000000	 .000000	 7.75291	 29.7517	 .049324	 .004404	 .000000	 .101769	 .255863	 43.9787	 41.4055	 .000000	 .000000	 9.97410	 49.3373	 .069014	 .005936	 .000000	 .131408	 .325592	 -.00001	 101.249	 .025124	 .043387	 .027010	 .039164	 .010005	 .007432	 .015162	 .010606	 .024822	 .035731	 .327170	 -55.948	 -68.486	 1.12779	 .229645	 8.13283	 164.612	 -156.74	 12.8658	 7.56203	 .910606	 -.00052	 -.00071	 .130742	 .800350	 .003385	 .000477	 -.00004	 .001717	 .002879	 4864.03	 2.31939	 43.3804	 415.566	 9424.86	 81.9793	 12.0906	 144.133	 44.1699	 91.4061	 86.5976	 3.25702	 46.4548	 9.47495	 22.5094	 50.5360	 11.4361	 146.549	 29.3637	 55.7680	 4777.44	 -.93763	 -3.0744	 406.091	 9402.35	 31.4433	 .654570	 -2.4164	 14.8062	 35.6381	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3300	 77.8463	 43.9846	 11.1230	 2031.98	 5246.43	 1795.48	 4323.61	 3106.04	 11747.8	 9289.96	 1373.47	 55816.8	 8625.74	 12379.2
      53	 14.2814	 .008488	 .000000	 2.89627	 25.5120	 .021187	 .000000	 .000000	 .043466	 .092249	 57.1450	 19.3306	 .019594	 .000000	 7.79511	 29.8830	 .040925	 .000000	 .000000	 .115081	 .261010	 44.0638	 41.3551	 .032685	 .000000	 10.0284	 49.5550	 .057262	 .000000	 .000000	 .148597	 .332142	  .00000	 101.509	 .024512	 .042078	 .026915	 .038262	 .010045	 .007501	 .015629	 .010638	 .024840	 .036071	 .327292	 105.626	 -97.148	 1.12384	 .229258	 9.67378	 -91.396	 -411.47	 11.5337	 7.48507	 .909121	 .000303	 -.00050	 .131468	 .803695	 .002809	 -.00085	 -.00002	 .001941	 .002937	 4851.88	 3.60531	 43.8592	 417.378	 9464.36	 77.5486	 10.9642	 146.421	 46.1312	 93.1580	 82.2906	 3.06204	 46.0281	 9.03795	 22.6611	 51.4561	 12.1328	 147.347	 29.3869	 56.8002	 4769.59	 .543268	 -2.1688	 408.340	 9441.70	 26.0925	 -1.1686	 -.92572	 16.7443	 36.3579	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.3100	 78.0947	 43.2640	 11.1230	 2794.19	 5246.37	 1795.46	 4323.43	 3106.01	 11747.9	 9289.75	 1373.52	 55817.0	 8625.58	 12379.3
"Un    3  CK-5_AOI_2 (TKCS): "	 40	 15	 25	 10
"    LINE"	"  Si AT%"	"  Ti AT%"	"  Al AT%"	"  Fe AT%"	"  Mg AT%"	"  Ca AT%"	"  Na AT%"	"  Cr AT%"	"  Mn AT%"	"  Ni AT%"	"   O AT%"	"  Si WT%"	"  Ti WT%"	"  Al WT%"	"  Fe WT%"	"  Mg WT%"	"  Ca WT%"	"  Na WT%"	"  Cr WT%"	"  Mn WT%"	"  Ni WT%"	"   O WT%"	"    SiO2"	"    TiO2"	"   Al2O3"	"     FeO"	"     MgO"	"     CaO"	"    Na2O"	"   Cr2O3"	"     MnO"	"     NiO"	"       O"	"   TOTAL"	"Si CDL99"	"Ti CDL99"	"Al CDL99"	"Fe CDL99"	"Mg CDL99"	"Ca CDL99"	"Na CDL99"	"Cr CDL99"	"Mn CDL99"	"Ni CDL99"	"Si %ERR "	"Ti %ERR "	"Al %ERR "	"Fe %ERR "	"Mg %ERR "	"Ca %ERR "	"Na %ERR "	"Cr %ERR "	"Mn %ERR "	"Ni %ERR "	"Si K-RAW"	"Ti K-RAW"	"Al K-RAW"	"Fe K-RAW"	"Mg K-RAW"	"Ca K-RAW"	"Na K-RAW"	"Cr K-RAW"	"Mn K-RAW"	"Ni K-RAW"	"Si ONCNT"	"Ti ONCNT"	"Al ONCNT"	"Fe ONCNT"	"Mg ONCNT"	"Ca ONCNT"	"Na ONCNT"	"Cr ONCNT"	"Mn ONCNT"	"Ni ONCNT"	"Si OFCNT"	"Ti OFCNT"	"Al OFCNT"	"Fe OFCNT"	"Mg OFCNT"	"Ca OFCNT"	"Na OFCNT"	"Cr OFCNT"	"Mn OFCNT"	"Ni OFCNT"	"Si NECNT"	"Ti NECNT"	"Al NECNT"	"Fe NECNT"	"Mg NECNT"	"Ca NECNT"	"Na NECNT"	"Cr NECNT"	"Mn NECNT"	"Ni NECNT"	"Si ONTIM"	"Ti ONTIM"	"Al ONTIM"	"Fe ONTIM"	"Mg ONTIM"	"Ca ONTIM"	"Na ONTIM"	"Cr ONTIM"	"Mn ONTIM"	"Ni ONTIM"	"Si HITIM"	"Ti HITIM"	"Al HITIM"	"Fe HITIM"	"Mg HITIM"	"Ca HITIM"	"Na HITIM"	"Cr HITIM"	"Mn HITIM"	"Ni HITIM"	"Si LOTIM"	"Ti LOTIM"	"Al LOTIM"	"Fe LOTIM"	"Mg LOTIM"	"Ca LOTIM"	"Na LOTIM"	"Cr LOTIM"	"Mn LOTIM"	"Ni LOTIM"	"Si DETIM"	"Ti DETIM"	"Al DETIM"	"Fe DETIM"	"Mg DETIM"	"Ca DETIM"	"Na DETIM"	"Cr DETIM"	"Mn DETIM"	"Ni DETIM"	" BEAMCUR"	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STDCT"	"Ti STDCT"	"Al STDCT"	"Fe STDCT"	"Mg STDCT"	"Ca STDCT"	"Na STDCT"	"Cr STDCT"	"Mn STDCT"	"Ni STDCT"
      54	 14.2813	 .000000	 .000000	 2.95156	 25.4602	 .022489	 .000000	 .002140	 .030829	 .110392	 57.1412	 19.3111	 .000000	 .000000	 7.93599	 29.7925	 .043395	 .000000	 .005356	 .081542	 .312033	 44.0168	 41.3133	 .000000	 .000000	 10.2096	 49.4048	 .060718	 .000000	 .007829	 .105290	 .397070	 .000008	 101.499	 .025104	 .046317	 .026474	 .037975	 .009754	 .007482	 .015900	 .010635	 .025662	 .034861	 .327923	 -404.14	 -277.01	 1.11345	 .229884	 9.16129	 -107.03	 94.2426	 16.1791	 6.25395	 .908181	 -.00008	 -.00017	 .133904	 .800043	 .002979	 -.00074	 .000073	 .001376	 .003512	 4850.81	 3.56014	 43.7135	 424.804	 9420.15	 78.8277	 11.4717	 151.443	 43.2188	 96.4835	 86.2065	 3.70849	 44.4673	 8.90033	 21.2770	 51.1549	 12.4887	 147.364	 31.3504	 53.0101	 4764.60	 -.14834	 -.75380	 415.904	 9398.87	 27.6727	 -1.0170	 4.07864	 11.8684	 43.4734	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.2800	 73.9765	 48.2300	 11.1230	 .000000	 5246.31	 1795.44	 4323.24	 3105.97	 11748.0	 9289.54	 1373.57	 55817.1	 8625.41	 12379.4
      55	 18.7585	 .141694	 3.03632	 .947548	 8.03980	 7.64988	 1.22055	 .218597	 .018797	 .009623	 59.9587	 24.4867	 .315449	 3.80771	 2.45948	 9.08204	 14.2503	 1.30418	 .528270	 .047997	 .026257	 44.5876	 52.3858	 .526188	 7.19460	 3.16411	 15.0608	 19.9391	 1.75801	 .772106	 .061975	 .033413	  .00000	 100.896	 .023803	 .050125	 .024302	 .040543	 .009849	 .007650	 .016134	 .011182	 .026179	 .037019	 .276588	 10.6887	 .861045	 2.11424	 .425467	 .234087	 1.73163	 1.50709	 27.0655	 67.4708	 1.26729	 .004739	 .175798	 .041194	 .236006	 .983265	 .135460	 .006947	 .000803	 .000296	 6742.33	 12.6140	 812.830	 137.938	 2792.91	 9187.87	 197.972	 539.071	 38.9813	 63.5201	 93.8218	 4.10568	 52.8460	 9.99210	 20.3062	 54.0032	 11.9019	 151.315	 32.0554	 59.8586	 6648.51	 8.50832	 759.984	 127.946	 2772.61	 9133.87	 186.070	 387.755	 6.92593	 3.66148	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.2700	 73.6348	 47.9848	 11.1230	 420.572	 5246.25	 1795.42	 4323.06	 3105.94	 11748.0	 9289.33	 1373.62	 55817.3	 8625.25	 12379.5
      56	 14.2502	 .000000	 .005945	 2.99395	 25.4789	 .025327	 .000000	 .001041	 .037515	 .080250	 57.1269	 19.2765	 .000000	 .007726	 8.05306	 29.8258	 .048890	 .000000	 .002607	 .099265	 .226919	 44.0228	 41.2394	 .000000	 .014598	 10.3602	 49.4602	 .068408	 .000000	 .003811	 .128174	 .288761	 .000008	 101.564	 .024866	 .043128	 .026053	 .040851	 .009654	 .007554	 .015630	 .010593	 .025596	 .036480	 .328204	-47822540.	 160.154	 1.10887	 .229791	 8.30123	 -146.07	 192.154	 13.4905	 8.54858	 .906448	  .00000	 .000300	 .135843	 .800920	 .003357	 -.00054	 .000036	 .001675	 .002554	 4839.92	 3.21529	 44.3245	 432.203	 9430.14	 83.3120	 11.3279	 148.236	 45.6106	 89.6440	 84.5213	 3.21529	 43.0265	 10.2891	 20.8347	 52.1311	 12.0643	 146.250	 31.1649	 58.0280	 4755.40	  .00000	 1.29792	 421.914	 9409.30	 31.1809	 -.73643	 1.98625	 14.4456	 31.6160	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 20.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	 10.0000	1.57E-06	1.42E-06	1.57E-06	1.42E-06	1.49E-06	1.66E-06	1.49E-06	1.66E-06	1.48E-06	1.48E-06	 25.2700	 73.3063	 47.4719	 11.1230	 1029.65	 5246.19	 1795.40	 4322.87	 3105.91	 11748.1	 9289.12	 1373.66	 55817.5	 8625.09	 12379.6
